client,desc,combined,market
Spiezle Architectural Group,"HVAC Cx - Appleby Elementary School, Spotswood, NJ","Spiezle Architectural Group HVAC Cx - Appleby Elementary School, Spotswood, NJ",Education
Spiezle Architectural Group,"HVAC Cx Services – Farmingdale Elementary School, Farmingdale, NJ","Spiezle Architectural Group HVAC Cx Services – Farmingdale Elementary School, Farmingdale, NJ",Education
Spiezle Architectural Group,"New Dayton Educational Campus, Passaic, NJ","Spiezle Architectural Group New Dayton Educational Campus, Passaic, NJ",Education
St. Peter's University,Hospital Cx Services,St. Peter's University Hospital Cx Services,Datacom / Mission Critical / Tech
Stantec,"Conestoga, PA Substation NETA Testing and Commissioning","Stantec Conestoga, PA Substation NETA Testing and Commissioning",Infrastructure / Transp. / Utility Co.
State of NJ - Division of Property Management & Construction,A1236-00 DPMC - Data Center Power Distribution System Improvements  ,State of NJ - Division of Property Management & Construction A1236-00 DPMC - Data Center Power Distribution System Improvements  ,Datacom / Mission Critical / Tech
State of NJ - Division of Property Management & Construction,3rd Party M&V Services - Katzenbach School for the Deaf,State of NJ - Division of Property Management & Construction 3rd Party M&V Services - Katzenbach School for the Deaf,Education
Stockton University,Consolidated Communications Center Building – Commissioning Services,Stockton University Consolidated Communications Center Building – Commissioning Services,Education
Stulz,Controls of Modular Construction for liquid cooled applications,Stulz Controls of Modular Construction for liquid cooled applications,Datacom / Mission Critical / Tech
Stulz,Meet Andy McDonald and Mack - local distributor,Stulz Meet Andy McDonald and Mack - local distributor,Datacom / Mission Critical / Tech
State University of New York,Ambulatory Care Facility - Building Cx - SUNY Upstate Medical Center ,State University of New York Ambulatory Care Facility - Building Cx - SUNY Upstate Medical Center ,Healthcare
State University of New York,Cancer Center Fit Out Floors 4 & 5 - Cx Services,State University of New York Cancer Center Fit Out Floors 4 & 5 - Cx Services,Healthcare
Sustainable Options,Oglethorpe Power HQ - LEED IEQ Calculations ,Sustainable Options Oglethorpe Power HQ - LEED IEQ Calculations ,Education
Swan Coach House,Swan Coach House Kitchens heat load study ,Swan Coach House Swan Coach House Kitchens heat load study ,Lodging / Residential
Swinerton,TBD,Swinerton TBD,Industrial / Controls / Energy
Switch,$2.5B Atlanta Data Center,Switch $2.5B Atlanta Data Center,Datacom / Mission Critical / Tech
Switch,Pyramid Site Assessment,Switch Pyramid Site Assessment,Datacom / Mission Critical / Tech
Switch,Qualifications Package,Switch Qualifications Package,Datacom / Mission Critical / Tech
Switch,Strategic Plan - T&M,Switch Strategic Plan - T&M,Datacom / Mission Critical / Tech
Switch,T2O services - T&M,Switch T2O services - T&M,Datacom / Mission Critical / Tech
T5,$100M data center in Lithia Springs,T5 $100M data center in Lithia Springs,Datacom / Mission Critical / Tech
Telx,Digital - 56 Marietta Energy Audit ECM Design,Telx Digital - 56 Marietta Energy Audit ECM Design,Datacom / Mission Critical / Tech
Telx,Digital Realty - 56 marietta st - energy audit - Atlanta GA,Telx Digital Realty - 56 marietta st - energy audit - Atlanta GA,Datacom / Mission Critical / Tech
Telx,Lead from Melinda Parrish - SE facility build.  George Yan,Telx Lead from Melinda Parrish - SE facility build.  George Yan,Datacom / Mission Critical / Tech
Temple Bnai Jeshurun (TBJ),Congregation Bnai Jeshurun - Synagogue Commissioning,Temple Bnai Jeshurun (TBJ) Congregation Bnai Jeshurun - Synagogue Commissioning,Cultural / Recreation / Sport
Terracon,Misc Cx Opps,Terracon Misc Cx Opps,Datacom / Mission Critical / Tech
The College of New Jersey,TCNJ,The College of New Jersey TCNJ,Education
The Haskell Company,Atlantic City CG Station - Boat Maintenance Facility (BMF) LEED Cx,The Haskell Company Atlantic City CG Station - Boat Maintenance Facility (BMF) LEED Cx,Institutional / Gov Facilities
The Haskell Company,Manasquan CG Station - Multi - Mission Facility (MMF) LEED Cx,The Haskell Company Manasquan CG Station - Multi - Mission Facility (MMF) LEED Cx,Institutional / Gov Facilities
The Haskell Company,USCG Cape Cod UPH – LEED Commissioning Services,The Haskell Company USCG Cape Cod UPH – LEED Commissioning Services,Institutional / Gov Facilities
The Haskell Company,USCG Station Sandy Hook – LEED Cx Services,The Haskell Company USCG Station Sandy Hook – LEED Cx Services,Institutional / Gov Facilities
Thea Development,"Data Center Campus - Sherman, TX","Thea Development Data Center Campus - Sherman, TX",Datacom / Mission Critical / Tech
Thermal Resource Systems (TRS),LG VRF Controls,Thermal Resource Systems (TRS) LG VRF Controls,Commercial / Misc Facilities
Thermal Resource Systems (TRS),VTS controls,Thermal Resource Systems (TRS) VTS controls,Industrial / Controls / Energy
Tierpoint,"Allen, TX II Facility","Tierpoint Allen, TX II Facility",Datacom / Mission Critical / Tech
"Tokarski and Millemann Architects, LLC",HVAC System Upgrade and Roof Replacement Cx,"Tokarski and Millemann Architects, LLC HVAC System Upgrade and Roof Replacement Cx",Commercial / Misc Facilities
Trahan Architects,309M Trahan - New Orleans,Trahan Architects 309M Trahan - New Orleans,Lodging / Residential
Trahan Architects,Alliance Theatre - Cx Support,Trahan Architects Alliance Theatre - Cx Support,Cultural / Recreation / Sport
Trahan Architects,Alliance Theatre - Humidification Change,Trahan Architects Alliance Theatre - Humidification Change,Cultural / Recreation / Sport
Trahan Architects,College Station Hotel,Trahan Architects College Station Hotel,Lodging / Residential
Trahan Architects,Hawaii Theatre,Trahan Architects Hawaii Theatre,Cultural / Recreation / Sport
Trahan Architects,Laguna Gloria - Lighting Design,Trahan Architects Laguna Gloria - Lighting Design,Cultural / Recreation / Sport
Trahan Architects,Laguna Gloria Pavilion MEP Design ,Trahan Architects Laguna Gloria Pavilion MEP Design ,Cultural / Recreation / Sport
Trammell Crow,"Chemours – Comet – Newark, DE","Trammell Crow Chemours – Comet – Newark, DE",Datacom / Mission Critical / Tech
Tri-Tech,Berkeley CA Safety Training Development,Tri-Tech Berkeley CA Safety Training Development,Commercial / Misc Facilities
Tri-Tech,Equipment Safety Training - Newark Power Plant,Tri-Tech Equipment Safety Training - Newark Power Plant,Industrial / Controls / Energy
Tri-Tech,Tri-Tech St. Louis Electrical Equipment Training,Tri-Tech Tri-Tech St. Louis Electrical Equipment Training,Industrial / Controls / Energy
Twitter,TBD,Twitter TBD,Datacom / Mission Critical / Tech
UGA,CHW Loop Piping Design,UGA CHW Loop Piping Design,Education
UGA,CHW Piping Design ,UGA CHW Piping Design ,Education
UGA,Russell Hall Renovation ,UGA Russell Hall Renovation ,Education
United Mobile Solution,140 Retail Stores,United Mobile Solution 140 Retail Stores,Repeatable / Retail
United Technologies Corporation (UTC),TBD,United Technologies Corporation (UTC) TBD,Commercial / Misc Facilities
University Hospital,Emergency Power System Upgrade Cx,University Hospital Emergency Power System Upgrade Cx,Healthcare
UNOPS,708 3rd Avenue Fit-Up LEED Cx,UNOPS 708 3rd Avenue Fit-Up LEED Cx,Commercial / Misc Facilities
USGA,Data Center Cx ,USGA Data Center Cx ,Datacom / Mission Critical / Tech
Vantage,Ashburn DC,Vantage Ashburn DC,Datacom / Mission Critical / Tech
Vector Praxis,TBD,Vector Praxis TBD,Commercial / Misc Facilities
Veterans Contracting Group,Manhattan VA Medical Center - Expansion,Veterans Contracting Group Manhattan VA Medical Center - Expansion,Healthcare
vXchnge,vXchnge PA01,vXchnge vXchnge PA01,Datacom / Mission Critical / Tech
Verizon Wireless,141 Industrial Pkwy - Arc Flash Coord Study ,Verizon Wireless 141 Industrial Pkwy - Arc Flash Coord Study ,Datacom / Mission Critical / Tech
Verizon Wireless,"145 Chubb Way, Branchburg, NJ ACC Design","Verizon Wireless 145 Chubb Way, Branchburg, NJ ACC Design",Datacom / Mission Critical / Tech
Verizon Wireless,"2018 CRAN Hebron, KY","Verizon Wireless 2018 CRAN Hebron, KY",Datacom / Mission Critical / Tech
Verizon Wireless,2018 East Norwood A&E CRAN,Verizon Wireless 2018 East Norwood A&E CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,2018 Groesbeck A&E Design CRAN,Verizon Wireless 2018 Groesbeck A&E Design CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,"38th Ave, Nashville, TN CRAN Survey","Verizon Wireless 38th Ave, Nashville, TN CRAN Survey",Datacom / Mission Critical / Tech
Verizon Wireless,51 Imclone Lab Power Diversity Cx Services,Verizon Wireless 51 Imclone Lab Power Diversity Cx Services,Datacom / Mission Critical / Tech
Verizon Wireless,51 Imclone MDF Upgrade Design and CA,Verizon Wireless 51 Imclone MDF Upgrade Design and CA,Datacom / Mission Critical / Tech
Verizon Wireless,8th St. Atl Design CRAN,Verizon Wireless 8th St. Atl Design CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,8th St. grounding audit CRAN,Verizon Wireless 8th St. grounding audit CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,8th St. security design CRAN,Verizon Wireless 8th St. security design CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,8th Street Atlanta - CRAN Audit,Verizon Wireless 8th Street Atlanta - CRAN Audit,Datacom / Mission Critical / Tech
Verizon Wireless,A&E Cran Work Hub - S. Central TX,Verizon Wireless A&E Cran Work Hub - S. Central TX,Commercial / Misc Facilities
Verizon Wireless,A&E Services for 6 CRAN sites in Phoenix ,Verizon Wireless A&E Services for 6 CRAN sites in Phoenix ,Datacom / Mission Critical / Tech
Verizon Wireless,A&E Services for Tap Box & MTS - Golden Valley MN MSC,Verizon Wireless A&E Services for Tap Box & MTS - Golden Valley MN MSC,Datacom / Mission Critical / Tech
Verizon Wireless,A&E Wisconsin CRAN Hub,Verizon Wireless A&E Wisconsin CRAN Hub,Datacom / Mission Critical / Tech
Verizon Wireless,"ABQ, NM3, NM4 CRAN A&E  ","Verizon Wireless ABQ, NM3, NM4 CRAN A&E  ",Datacom / Mission Critical / Tech
Verizon Wireless,"AC Power Feasibiliyt (BBG, SL, CIN)","Verizon Wireless AC Power Feasibiliyt (BBG, SL, CIN)",Datacom / Mission Critical / Tech
Verizon Wireless,Adelphi MSI,Verizon Wireless Adelphi MSI,Datacom / Mission Critical / Tech
Verizon Wireless,Akron Bartges CRAN,Verizon Wireless Akron Bartges CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,AL - Bham Medium CRAN - A&E,Verizon Wireless AL - Bham Medium CRAN - A&E,Datacom / Mission Critical / Tech
Verizon Wireless,Albuquerque BAS Installation,Verizon Wireless Albuquerque BAS Installation,Datacom / Mission Critical / Tech
Verizon Wireless,Albuquerque BAS MSI,Verizon Wireless Albuquerque BAS MSI,Datacom / Mission Critical / Tech
Verizon Wireless,Alpharetta - RHO Calculations,Verizon Wireless Alpharetta - RHO Calculations,Datacom / Mission Critical / Tech
Verizon Wireless,Alpharetta and Birmingham SAP Audits,Verizon Wireless Alpharetta and Birmingham SAP Audits,Datacom / Mission Critical / Tech
Verizon Wireless,Alpharetta GUI Upgrades,Verizon Wireless Alpharetta GUI Upgrades,Datacom / Mission Critical / Tech
Verizon Wireless,Alpharetta MSC - HVAC Study,Verizon Wireless Alpharetta MSC - HVAC Study,Datacom / Mission Critical / Tech
Verizon Wireless,Alpharetta MSI,Verizon Wireless Alpharetta MSI,Datacom / Mission Critical / Tech
Verizon Wireless,Alpharetta MTSO Add Conduit,Verizon Wireless Alpharetta MTSO Add Conduit,Datacom / Mission Critical / Tech
Verizon Wireless,Alpharetta RNC SDN,Verizon Wireless Alpharetta RNC SDN,Datacom / Mission Critical / Tech
Verizon Wireless,Alpharetta Switch A HVAC Design ,Verizon Wireless Alpharetta Switch A HVAC Design ,Datacom / Mission Critical / Tech
Verizon Wireless,"Alpharetta, GA - GUI Update","Verizon Wireless Alpharetta, GA - GUI Update",Datacom / Mission Critical / Tech
Verizon Wireless,Anchorage Energy Audit,Verizon Wireless Anchorage Energy Audit,Datacom / Mission Critical / Tech
Verizon Wireless,Annapolis Junction Master Plan,Verizon Wireless Annapolis Junction Master Plan,Datacom / Mission Critical / Tech
Verizon Wireless,Annapolis Junction MSC - SC Power ,Verizon Wireless Annapolis Junction MSC - SC Power ,Datacom / Mission Critical / Tech
Verizon Wireless,Annapolis MSI,Verizon Wireless Annapolis MSI,Datacom / Mission Critical / Tech
Verizon Wireless,ATL CRAN Audits (8 sites),Verizon Wireless ATL CRAN Audits (8 sites),Datacom / Mission Critical / Tech
Verizon Wireless,ATL Hub CRAN - Survey & Design - 1 of 2,Verizon Wireless ATL Hub CRAN - Survey & Design - 1 of 2,Datacom / Mission Critical / Tech
Verizon Wireless,ATL Hub CRAN - Survey & Design - 2 of 2,Verizon Wireless ATL Hub CRAN - Survey & Design - 2 of 2,Datacom / Mission Critical / Tech
Verizon Wireless,ATL Medium Hub CRAN Surveys & CD - 2,Verizon Wireless ATL Medium Hub CRAN Surveys & CD - 2,Datacom / Mission Critical / Tech
Verizon Wireless,ATL Medium Hub CRAN Surveys & CD - 3,Verizon Wireless ATL Medium Hub CRAN Surveys & CD - 3,Datacom / Mission Critical / Tech
Verizon Wireless,ATL Medium Hub CRAN Surveys & CD - 4,Verizon Wireless ATL Medium Hub CRAN Surveys & CD - 4,Datacom / Mission Critical / Tech
Verizon Wireless,ATL Medium Hub CRAN Surveys & CDs,Verizon Wireless ATL Medium Hub CRAN Surveys & CDs,Datacom / Mission Critical / Tech
Verizon Wireless,Audit and Design Services Med-CRAN,Verizon Wireless Audit and Design Services Med-CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,Aurora Block Wall Expansion Design,Verizon Wireless Aurora Block Wall Expansion Design,Datacom / Mission Critical / Tech
Verizon Wireless,Aurora Heat Map Solution,Verizon Wireless Aurora Heat Map Solution,Datacom / Mission Critical / Tech
Verizon Wireless,Aurora MSC HVAC and DC Power Plant,Verizon Wireless Aurora MSC HVAC and DC Power Plant,Datacom / Mission Critical / Tech
Verizon Wireless,Aurora MSC Plenum Reconfiguration,Verizon Wireless Aurora MSC Plenum Reconfiguration,Datacom / Mission Critical / Tech
Verizon Wireless,Aurora MSI,Verizon Wireless Aurora MSI,Datacom / Mission Critical / Tech
Verizon Wireless,Aurora Outside Patio Design ,Verizon Wireless Aurora Outside Patio Design ,Datacom / Mission Critical / Tech
Verizon Wireless,AZ2 CRAN A&E Design,Verizon Wireless AZ2 CRAN A&E Design,Datacom / Mission Critical / Tech
Verizon Wireless,Azusa BAS CHW DP Programming ,Verizon Wireless Azusa BAS CHW DP Programming ,Datacom / Mission Critical / Tech
Verizon Wireless,Azusa Energy Audit BAS Vendor Support,Verizon Wireless Azusa Energy Audit BAS Vendor Support,Datacom / Mission Critical / Tech
